Term,Description
Data Packet,"A unit of data formatted for internet transfer. Packets are broken down, sent separately, and reassembled at the destination."
Checksum,"A value used to verify the integrity of a packet's data, ensuring it has not been altered during transmission."
Header,"The part of a data packet that contains control information such as source and destination addresses."
Payload,"The actual data being transmitted in a data packet, excluding the header and other control information."
Client,"A device or program that requests services or resources from a server."
Server,"A device or program that provides services or resources to clients over a network."
IP Address,"A unique identifier assigned to each device on a network, used for locating and communicating with other devices."
DNS (Domain Name System),"A system that translates human-readable domain names into numerical IP addresses."
HTTP (Hypertext Transfer Protocol),"A protocol used for transmitting hypertext requests and information on the internet."
HTTPS (Hypertext Transfer Protocol Secure),"An extension of HTTP that uses SSL/TLS to encrypt data for secure communication over the internet."
Protocol,"A set of rules and standards used to communicate between devices on a network."
Load Balancing,"The process of distributing network traffic across multiple servers to ensure no single server becomes overwhelmed."
Online Storefront,"A website or platform where businesses display their products and services for sale."
Payment Gateway,"A service that authorises and processes online payments."
Digital Marketing,"Strategies used to promote products and services online, including SEO, social media marketing, and email marketing."
Supply Chain Management,"The management of the flow of goods and services from suppliers to customers, including inventory management and logistics."
User Interface (UI),"The visual elements of a website that users interact with."
User Experience (UX),"The overall experience of a user when interacting with a website."
Responsive Design,"Design techniques that ensure a website adapts to different screen sizes and devices for optimal viewing."
JavaScript,"A programming language used to create dynamic and interactive elements on webpages."
IPv4,"The fourth version of the Internet Protocol, using 32-bit addresses."
IPv6,"The most recent version of the Internet Protocol, using 128-bit addresses."
Static IP Address,"An IP address that is manually assigned and does not change."
Dynamic IP Address,"An IP address that is assigned by a DHCP server and can change over time."
Personal Data,"Information that relates to an identified or identifiable individual."
Data Protection,"Measures to safeguard personal data against unauthorised access."
Anonymisation,"Removing or altering personal identifiers to prevent identification."
Classification,"Assigning items in a dataset to predefined categories or classes."
Standardisation,"The process of establishing and implementing technical standards to ensure consistency, compatibility, and interoperability of products and services. It involves the creation and adoption of guidelines, specifications, and protocols that are widely accepted and used across industries."
VPN (Virtual Private Network),"A technology that creates a secure, encrypted connection over a less secure network, such as the internet. It allows users to securely access private networks and share data remotely through public networks, providing privacy, security, and anonymity."
ISP (Internet Service Provider),"A company or organization that provides individuals and businesses with access to the internet. ISPs offer various services, including broadband, fiber-optic, DSL, and wireless internet connections, as well as related services like email hosting and domain registration."
Chromium (web browser),"An open-source web browser project primarily developed and maintained by Google, serving as the foundation for many popular browsers, including Google Chrome, Microsoft Edge, and Opera."
